,sum_sq,df,F,PR(>F),p_val_adj
SCAF1,13.970795604055125,12.0,1.3954733377671777,0.18973205099482107,0.3045237450863365
SCAF11,5.0497132328893395,12.0,1.3987879073744196,0.18818343972156887,0.3026712861058875
SCAF4,2.619472393348706,12.0,0.2101554416445941,0.9975290241750676,0.9980709827886584
SCAF8,21.68468618396145,12.0,2.6041229876631378,0.006512663441205187,0.02642646423031855
SCAI,12.166624937445214,12.0,1.3071307428644445,0.23508711130289509,0.35474961010767914
SCAMP1,23.217764676173825,12.0,3.673406451709402,0.00028612791207364703,0.002565400013996243
SCAMP2,2.6573412415434934,12.0,0.9703066063924325,0.4853762210076138,0.5910267446493134
SCAMP3,14.422549054055207,12.0,1.7261837240298632,0.08018349731627629,0.16443867333814524
SCAMP4,23.87076947794769,12.0,3.368416491494607,0.0006924658505491633,0.0050151267134090054
SCAMP5,11.448052097268633,12.0,2.0453017269284426,0.03294987906802788,0.08582814326970319
SCAND1,22.575944656241415,12.0,2.7174438022611676,0.0046689664894779236,0.020599829149550896
SCAP,13.047055843552668,12.0,1.3035228336887006,0.23711214469989467,0.35657825059556264
SCAPER,15.44237850555492,12.0,1.7710452581155292,0.07095142301151358,0.14982104248701877
SCARA3,14.263313489309954,12.0,3.19330973277316,0.001154636058267156,0.0073679063233014356
SCARB1,8.423523720510916,12.0,1.2425692038771234,0.27346129049528684,0.3951092990554843
SCARB2,12.64784843429013,12.0,1.716080873302879,0.0824108096581383,0.16803337806291796
SCARF2,11.831684662771183,12.0,1.2714671373270268,0.2557212149989042,0.37650798652221135
SCCPDH,12.706237734181038,12.0,1.3940397484375335,0.19040516104456626,0.30520559412013465
SCD,10.30649533479439,12.0,2.1040466229085166,0.02786390033138355,0.07645136896644211
SCD5,23.048693534505155,12.0,11.970280491776649,1.5251396772550134e-12,6.105863542680071e-10
SCFD1,9.647688660804592,12.0,0.9811665463865419,0.4755058806254495,0.5819322366825013
SCG2,15.670608603999854,12.0,2.8753079691857217,0.002935527634899199,0.014554026926713393
SCG3,20.023093125636965,12.0,7.567659840643785,1.1739479425043278e-08,1.0702685796613714e-06
SCG5,9.699582603282886,12.0,3.8250376868611187,0.0001850936084864045,0.001830657300690454
SCHIP1,22.117627392638372,12.0,3.8780094568978636,0.00015907258445844633,0.0016220823451753863
SCLT1,8.986514371207322,12.0,1.49462695649369,0.14783817641703387,0.2549239566382112
SCMH1,4.227147028162154,12.0,0.5728190624862336,0.8564157296131281,0.8922692960259881
SCN1A,4.4343977977178435,12.0,0.46362007470515887,0.9289897439170824,0.9459402368670237
SCN1B,8.914227588690226,12.0,0.9436921428675223,0.5099542976101239,0.6129303188087745
SCN2A,6.672859657744323,12.0,1.4047594560396532,0.18542036198697304,0.30006163324710855
SCN2B,12.178579931714262,12.0,2.0143130316430176,0.03598226437370035,0.09167811022496757
