"","logFC.spline_1.macaque","logFC.spline_2.macaque","logFC.spline_3.macaque","logCPM","F","PValue"
"NDUFV2",0.0496294124583988,0.664975429292237,-0.350467775916109,9.23263473402442,11.1075727621647,2.27651997837574e-06
"NDUFV3",0.387410304656429,0.865744362509167,-0.28794401032549,8.99735969344502,11.6836941489821,1.11886821431672e-06
"NEBL",-0.267345139062652,-0.723300211620656,0.188268153303632,8.73940621346438,2.0459985616258,0.117577192878136
"NECAB1",1.08878779419593,-0.566904014315686,-0.0109429850113605,9.08562747004659,1.2180451688939,0.309766240607566
"NECAB2",0.108141060434745,1.95402918603261,0.632774216914424,8.66945308697997,1.61464259240868,0.201342042856309
"NECAB3",0.471542292977347,0.375137744280986,-0.555973539624619,8.866362900573,5.83966712748331,0.00113487175168854
"NECAP1",-0.0975162842798156,-0.121247452006037,-0.625851307289636,9.20312991040087,12.3632329844744,6.00075541850438e-07
"NECAP2",-0.372932732643774,0.149316933186007,1.34264473020657,8.70649651051883,9.0196102648074,7.82995972275063e-05
"NECTIN1",-0.716539911636692,0.0442086738453339,-0.13435051432183,8.78693088434016,0.249576928187118,0.861321220278236
"NECTIN2",-0.300854383665843,-0.940826494945823,0.0247415925158616,8.76485264222866,4.74373183757294,0.00447425041457405
"NECTIN3",-1.25314784967474,-1.37628039791416,-0.554510394716609,9.05889891760088,12.3990963095583,8.22606991276018e-07
"NEDD4L",-0.191336213589026,0.483930940215964,-0.112874483785972,9.10582384544276,1.57786893832816,0.203386706255994
"NEDD9",0.624262131652953,0.115993896056053,0.039983676262248,8.68339861453817,2.06106632769885,0.12099146397395
"NEFH",1.08739584106694,1.03371198607792,-0.0908265871334348,8.67451102905315,2.41909781049176,0.0820956787537591
"NEFL",0.725487797773775,-0.0899394864757924,-0.539367508337696,10.1637158967714,1.82595606217244,0.151403544920323
"NEFM",0.250438630227394,0.093426193188128,-0.452949650567317,9.17067654351535,0.730156658186658,0.537032682361873
"NEGR1",-0.338844394359707,0.364920440544049,-0.721602193077591,9.08333272140481,3.70492294527488,0.0148287578938565
